"POLICY_Name","POLICY_Link","POLICY_url","POLICY_YearPublish","POLICY_Type","POLICY_Description","STATE_Abbr","POLICY_Sector","STATE_Name","POLICY_abbr"
"CA ZEV Mandate","","","2013","","","NY","Transportation","New York","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","State of Oregon: AQ Programs - Oregon’s Clean Car Standards","https://www.oregon.gov/deq/aq/programs/Pages/ORLEV.aspx#:~:text=The%20LEV%20program%20requires%20new,(NOx)%20and%20air%20toxics.","2006","","","OR","Transportation","Oregon","hover_transportation"
"CA ZEV Mandate","","","2013","","","OR","Transportation","Oregon","hover_transportation"
"Low Carbon Fuel Standard (LCFS)","cfpoverview.pdf (oregon.gov)","https://www.oregon.gov/deq/FilterDocs/cfpoverview.pdf","2009","Legislation","Clean Fuels Program requires a 10% reduction in the lifecycle carbon intensity of the state’s transportation fuels from 2015 levels by 2025.","OR","Transportation","Oregon","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Clean Vehicle Program (pa.gov)","https://www.dep.pa.gov/Business/Air/BAQ/Automobiles/Pages/CleanVehicleProgram.aspx","1998","","","PA","Transportation","Pennsylvania","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Fact Sheet_LEV (ri.gov)","http://www.dem.ri.gov/mobile/pdf/fact5.pdf","1996","","","RI","Transportation","Rhode Island","hover_transportation"
"CA ZEV Mandate","","","2013","","","RI","Transportation","Rhode Island","hover_transportation"
"LEV/ZEV Program (HB 1965)","LIS > Bill Tracking > HB1965 > 2021 session (virginia.gov)","https://lis.virginia.gov/cgi-bin/legp604.exe?211+sum+HB1965","2021","Legislation","Will require manufacturers to sell a certain percentage of low- and zero-emission vehicles in the state, beginning with model year 2025 (effective January 2024). Virginia joins 12 other Alliance states with ZEV programs and 14 Alliance states with LEV programs.","VA","Transportation","Virginia","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Low Emission Vehicles | Department of Environmental Conservation (vermont.gov)","https://dec.vermont.gov/air-quality/mobile-sources/lev#:~:text=The%20Vermont%20Low%20Emission%20Vehicle,standard%20for%20criteria%20pollutants%20and","1996","","","VT","Transportation","Vermont","hover_transportation"
"CA ZEV Mandate","Zero Emission Vehicles | Department of Environmental Conservation (vermont.gov)","https://dec.vermont.gov/air-quality/mobile-sources/zev#:~:text=Vermont%27s%20Low%20Emission%20Vehicle%20(LEV,air%20quality%20efforts%20since%201996.&text=The%20Vermont%20Department%20of%20Environmental,be%20required%20to%20be%20ZEVs.","2013","","","VT","Transportation","Vermont","hover_transportation"
"CA ZEV Mandate","https://app.leg.wa.gov/billsummary?BillNumber=5811&Year=2019","https://app.leg.wa.gov/billsummary?BillNumber=5811&Year=2019","2020","Legislation","SB 5811","WA","Transportation","Washington","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Clean cars - Washington State Department of Ecology","https://ecology.wa.gov/Air-Climate/Air-quality/Vehicle-emissions/Clean-cars","2005","","","WA","Transportation","Washington","hover_transportation"
"Mid-Term GHG Reduction Target - EO 2006-13","governor.fm (azsos.gov)","https://apps.azsos.gov/public_services/register/2006/37/governor.pdf","2006","Executive Order","2000 levels by 2020","AZ","Cross-sector","Arizona","hover_cross"
"Mid-Term GHG Reduction Target - AB-32","Bill Text - AB-32 Air pollution: greenhouse gases: California Global Warming Solutions Act of 2006.","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200520060AB32","2006","Legislation","40% below 1990 levels by 2030","CA","Cross-sector","California","hover_cross"
"Mid-Term GHG Reduction Target - HB 19-1261 Climate Action Plan To Reduce Pollution","Climate Action Plan To Reduce Pollution | Colorado General Assembly","https://leg.colorado.gov/bills/hb19-1261","2019","Legislation","50% below 2005 levels by 2030","CO","Cross-sector","Colorado","hover_cross"
"Mid-Term GHG Reduction Target - Public Act No. 18-82","2018PA-00082-R00SB-00007-PA.pdf (ct.gov)","https://www.cga.ct.gov/2018/act/pa/pdf/2018PA-00082-R00SB-00007-PA.pdf","2018","Legislation","45% below 2001 levels by 2030","CT","Cross-sector","Connecticut","hover_cross"
"Mid-Term GHG Reduction Target - USCA","USCA_2019+State+Factsheet-DE_20190924.pdf (squarespace.com)","https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e520fa5dc16598a441415/1569608208869/USCA_2019+State+Factsheet-DE_20190924.pdf","2017","Recommended Goal","26–28% below 2005 levels by 2025. GHG emission reductions in Delaware are guided by the state’s commitment as a member of the USCA.","DE","Cross-sector","Delaware","hover_cross"
"Mid-Term GHG Reduction Target - EO 07-127","Microsoft Word - Executive Order 07-127 --Final-- 07.13.2007.doc (ucf.edu)","https://www.fsec.ucf.edu/en/media/enews/2007/pdf/07-127-emissions.pdf","2007","Executive Order","1990 levels by 2025","FL","Cross-sector","Florida","hover_cross"
"Mid-Term GHG Reduction Target - HB 226 Act 234","GM1005_.pdf (hawaii.gov)","https://health.hawaii.gov/cab/files/2014/07/GM1005_.pdf","2007","Legislation","1990 levels by 2020","HI","Cross-sector","Hawaii","hover_cross"
"Mid-Term GHG Reduction Target - EO 2019-06","19626-Executive_Order_2019-06.pdf (google.com)","https://docs.google.com/viewer?url=https%3A%2F%2Fwww2.illinois.gov%2FIISNews%2F19626-Executive_Order_2019-06.pdf","2019","Executive Order","26–28% below 2005 levels by 2025","IL","Cross-sector","Illinois","hover_cross"
"Mid-Term GHG Reduction Target - An Act Establishing the Global Warming Solutions Act","Session Law - Acts of 2008 Chapter 298 (malegislature.gov)","https://malegislature.gov/Laws/SessionLaws/Acts/2008/Chapter298","2008","Legislation","25% below 1990 levels by 2020","MA","Cross-sector","Massachusetts","hover_cross"
"Mid-Term GHG Reduction Target - EO 2020-18","JBE-2020-18-Climate-Initiatives-Task-Force.pdf (louisiana.gov)","https://gov.louisiana.gov/assets/ExecutiveOrders/2020/JBE-2020-18-Climate-Initiatives-Task-Force.pdf","2020","Executive Order","40-50% below 2005 by 2030","LA","Cross-sector","Louisiana","hover_cross"
"Mid-Term GHG Reduction Target - SB 323 Greenhouse Gas Emissions Reduction Act – Reauthorization","2016 Regular Session - Senate Bill 323 Chapter (maryland.gov)","http://mgaleg.maryland.gov/2016RS/chapters_noln/Ch_11_sb0323T.pdf","2016","Legislation","40% below 2006 levels by 2030","MD","Cross-sector","Maryland","hover_cross"
"Mid-Term GHG Reduction Target - An Act To Promote Clean Energy Jobs and To Establish the Maine Climate Council","SP0550, LD 1679, item 2, ‘An Act To Promote Clean Energy Jobs and To Establish the Maine Climate Council’","https://legislature.maine.gov/legis/bills/bills_129th/billtexts/SP055002.asp","2019","Legislation","45% below 1990 levels by 2030","ME","Cross-sector","Maine","hover_cross"
"Mid-Term GHG Reduction Target - EO 2019-12","Whitmer - Executive Directive 2019 - 12 (michigan.gov)","https://www.michigan.gov/whitmer/0,9309,7-387-90499_90704-488740--,00.html","2019","Executive Order","26-28% below 2005 levels by 2025","MI","Cross-sector","Michigan","hover_cross"
"Mid-Term GHG Reduction Target - 216H.02 Greenhouse Gas Emissions Control","Sec. 216H.02 MN Statutes","https://www.revisor.mn.gov/statutes/cite/216H.02","2007","Legislation","30% below 2005 levels by 2025","MN","Cross-sector","Minnesota","hover_cross"
"Mid-Term GHG Reduction Target - Climate Change Action Plan","Montana Climate Change Action Plan | U.S. Climate Resilience Toolkit","https://toolkit.climate.gov/reports/montana-climate-change-action-plan","2007","Announced Plan","1990 levels by 2020","MT","Cross-sector","Montana","hover_cross"
"Mid-Term GHG Reduction Target - SB 254","SB254 | Nevada 2019-2020 | AN ACT relating to greenhouse gas emissions; requiring the State Department of Conservation and Natural Resources to issue an annual report concerning greenhouse gas emissions in this State; and providing other matters properly relating thereto. | TrackBill","https://trackbill.com/bill/nevada-senate-bill-254-an-act-relating-to-greenhouse-gas-emissions-requiring-the-state-department-of-conservation-and-natural-resources-to-issue-an-annual-report-concerning-greenhouse-gas-emissions-in-this-state-and-providing-other-matters-properly-relating-thereto/1719120/","2019","Legislation","45% below 2005 levels by 2030","NV","Cross-sector","Nevada","hover_cross"
"Mid-Term GHG Reduction Target - NH Climate Action Plan","Energy in NH","https://www.nh.gov/osi/energy/programs/documents/sb191-2013-12-17climate-action-plan.pdf","2009","Announced Plan","20% below 1990 levels by 2025","NH","Cross-sector","New Hampshire","hover_cross"
"Mid-Term GHG Reduction Target - EO 54","State of New Jersey - Executive Orders (nj.gov)","https://nj.gov/infobank/circular/eojsc54.htm","2007","Executive Order","1990 levels by 2020","NJ","Cross-sector","New Jersey","hover_cross"
"Mid-Term GHG Reduction Target - EO 2019-003","EO_2019-003.pdf (state.nm.us)","https://www.governor.state.nm.us/wp-content/uploads/2019/01/EO_2019-003.pdf","2019","Executive Order","45% below 2005 levels by 2030","NM","Cross-sector","New Mexico","hover_cross"
"Mid-Term GHG Reduction Target - S 6599","S6599 (nysenate.gov)","https://legislation.nysenate.gov/pdf/bills/2019/S6599","2019","Legislation","40% below 1990 levels by 2030","NY","Cross-sector","New York","hover_cross"
"Mid-Term GHG Reduction Target - EO 80","EO80--NC-s-Commitment-to-Address-Climate-Change---Transition-to-a-Clean-Energy-Economy.pdf","https://files.nc.gov/ncdeq/climate-change/EO80--NC-s-Commitment-to-Address-Climate-Change---Transition-to-a-Clean-Energy-Economy.pdf","2018","Executive Order","40% below 2005 levels by 2025","NC","Cross-sector","North Carolina","hover_cross"
"Mid-Term GHG Reduction Target - HB 3543","HB3543 (state.or.us)","https://olis.leg.state.or.us/liz/2007R1/Downloads/MeasureDocument/HB3543","2007","Legislation","10% below 1990 levels by 2020","OR","Cross-sector","Oregon","hover_cross"
"Mid-Term GHG Reduction Target - EO 2019-01","2019-01.pdf (pa.gov)","https://www.oa.pa.gov/Policies/eo/Documents/2019-01.pdf","2019","Executive Order","26–28% below 2005 levels by 2025","PA","Cross-sector","Pennsylvania","hover_cross"
"Mid-Term GHG Reduction Target - Resilient Rhode Island Act of 2014","42-6.2-2 (state.ri.us)","http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-6.2/42-6.2-2.HTM","2014","Legislation","10% below 1990 levels by 2020","RI","Cross-sector","Rhode Island","hover_cross"
"Mid-Term GHG Reduction Target - H 688 Act 153","Bill Status H.688 (Act 153) (vermont.gov)","https://legislature.vermont.gov/bill/status/2020/H.688","2020","Legislation","40% below 1990 levels by 2030","VT","Cross-sector","Vermont","hover_cross"
"Mid-Term GHG Reduction Target - Engrossed Second Sunstitute HB 2311","2311-S2.SL.pdf (wa.gov)","http://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1","2020","Legislation","45% below 1990 levels by 2030","WA","Cross-sector","Washington","hover_cross"
"Long-Term GHG Reduction Target - Executive Order 2006-13","governor.fm (azsos.gov)","https://apps.azsos.gov/public_services/register/2006/37/governor.pdf","2006","Executive Order","50% below 2000 levels by 2040","AZ","Cross-sector","Arizona","hover_cross"
"Long-Term GHG Reduction Target - EO B-55-18","KM_C454e-20180910091830 (ca.gov)","https://www.ca.gov/archive/gov39/wp-content/uploads/2018/09/9.10.18-Executive-Order.pdf","2018","Executive Order","Carbon neutral by 2045","CA","Cross-sector","California","hover_cross"
"Long-Term GHG Reduction Target - HB 19-1261 Climate Action Plan To Reduce Pollution","Climate Action Plan To Reduce Pollution | Colorado General Assembly","https://leg.colorado.gov/bills/hb19-1261","2019","Legislation","90% below 2005 levels by 2050","CO","Cross-sector","Colorado","hover_cross"
"Long-Term GHG Reduction Target - Substitute HB 5600 Public Act 08-98","AN ACT CONCERNING CONNECTICUT GLOBAL WARMING SOLUTIONS.","https://www.cga.ct.gov/2008/ACT/PA/2008PA-00098-R00HB-05600-PA.htm","2008","Legislation","80% below 2001 levels by 2050","CT","Cross-sector","Connecticut","hover_cross"
"Long-Term GHG Reduction Target - EO 07-127 Establishing Immediate Actions to Reduce Greenhouse Gas Emissions within Florida","Microsoft Word - Executive Order 07-127 --Final-- 07.13.2007.doc (ucf.edu)","https://www.fsec.ucf.edu/en/media/enews/2007/pdf/07-127-emissions.pdf","2007","Executive Order","80% below 1990 levels by 2050","FL","Cross-sector","Florida","hover_cross"
"Long-Term GHG Reduction Target - HB 2182","HB2182 CD1 (hawaii.gov)","https://www.capitol.hawaii.gov/session2018/bills/HB2182_CD1_.htm","2018","Legislation","Carbon neutral by 2045","HI","Cross-sector","Hawaii","hover_cross"
"Long-Term GHG Reduction Target - Proposed in Congress","Microsoft Word - ICCAG Exec Summary for Gov.doc (state.il.us)","http://www.epa.state.il.us/air/climatechange/documents/iccag-summary.pdf","2007","Recommended Goal","60% below 1990 levels by 2050","IL","Cross-sector","Illinois","hover_cross"
"Long-Term GHG Reduction Target - EO 2020-18","JBE-2020-18-Climate-Initiatives-Task-Force.pdf (louisiana.gov)","https://gov.louisiana.gov/assets/ExecutiveOrders/2020/JBE-2020-18-Climate-Initiatives-Task-Force.pdf","2020","Executive Order","Net-zero by 2050","LA","Cross-sector","Louisiana","hover_cross"
"Long-Term GHG Reduction Target - An Act Establishing the Global Warming Solutions Act","Session Law - Acts of 2008 Chapter 298 (malegislature.gov)","https://malegislature.gov/Laws/SessionLaws/Acts/2008/Chapter298","2008","Legislation","80% below 1990 levels by 2050","MA","Cross-sector","Massachusetts","hover_cross"
"Long-Term GHG Reduction Target - SB 0414 Climate Solutions Now Act of 2021","Legislation - SB0414 (maryland.gov)","http://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0414","2019","Announced Plan; Recommended Goal","Target: 80–95% below 2006 levels by 2050. ""Net-zero statewide greenhouse gas emissions by 2045.""","MD","Cross-sector","Maryland","hover_cross"
"Long-Term GHG Reduction Target - An Order to Strengthen Maine's Economy and Achieve Carbon Neutrality by 2045","https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%209-23-2019_0.pdf","https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%209-23-2019_0.pdf","2019","Executive Order","Carbon neutral by 2045","ME","Cross-sector","Maine","hover_cross"
"Long-Term GHG Reduction Target - Executive Directive 2020-10","https://content.govdelivery.com/attachments/MIEOG/2020/09/23/file_attachments/1553296/ED%202020-10%20Carbon_Neutral_Goal.pdf","https://content.govdelivery.com/attachments/MIEOG/2020/09/23/file_attachments/1553296/ED%202020-10%20Carbon_Neutral_Goal.pdf","2020","Executive Order","Carbon neutral by 2050","MI","Cross-sector","Michigan","hover_cross"
"Long-Term GHG Reduction Target - 216H.02 Greenhouse Gas Emissions Control","Sec. 216H.02 MN Statutes","https://www.revisor.mn.gov/statutes/cite/216H.02","2007","Legislation","80% below 2005 levels by 2050","MN","Cross-sector","Minnesota","hover_cross"
"Long-Term GHG Reduction Target - Accelerating Decarbonization and Innovation in Montana’s Economy, and Addressing the Needs of Workers and Communities in Transitions","2020-06-15_Accelerating_Decarbonization_Innovation.pdf (mt.gov)","https://deq.mt.gov/Portals/112/DEQAdmin/Climate/Documents/2020-06-15_Accelerating_Decarbonization_Innovation.pdf","2020","Announced Plan","Net-neutral GHG emissions economy-wide 2045-2050","MT","Cross-sector","Montana","hover_cross"
"Long-Term GHG Reduction Target - SB 254","SB254 | Nevada 2019-2020 | AN ACT relating to greenhouse gas emissions; requiring the State Department of Conservation and Natural Resources to issue an annual report concerning greenhouse gas emissions in this State; and providing other matters properly relating thereto. | TrackBill","https://trackbill.com/bill/nevada-senate-bill-254-an-act-relating-to-greenhouse-gas-emissions-requiring-the-state-department-of-conservation-and-natural-resources-to-issue-an-annual-report-concerning-greenhouse-gas-emissions-in-this-state-and-providing-other-matters-properly-relating-thereto/1719120/","2019","Legislation","Net-zero by 2050","NV","Cross-sector","Nevada","hover_cross"
"Long-Term GHG Reduction Target - NH Climate Action Plan","Energy in NH","https://www.nh.gov/osi/energy/programs/documents/sb191-2013-12-17climate-action-plan.pdf","2009","Announced Plan","80% below 1990 levels by 2050","NH","Cross-sector","New Hampshire","hover_cross"
"Long-Term GHG Reduction Target - EO 54","State of New Jersey - Executive Orders (nj.gov)","https://nj.gov/infobank/circular/eojsc54.htm","2007","Executive Order","80% below 2006 levels by 2050","NJ","Cross-sector","New Jersey","hover_cross"
"Long-Term GHG Reduction Target - S 6599","S6599 (nysenate.gov)","https://legislation.nysenate.gov/pdf/bills/2019/S6599","2019","Legislation","Net-zero by 2050 (85% below 1990 levels and offset 15%)","NY","Cross-sector","New York","hover_cross"
"Long-Term GHG Reduction Target - EO 20-04","https://www.oregon.gov/gov/Documents/executive_orders/eo_20-04.pdf","https://www.oregon.gov/gov/Documents/executive_orders/eo_20-04.pdf","2020","Executive Order","80% below 1990 levels by 2050","OR","Cross-sector","Oregon","hover_cross"
"Long-Term GHG Reduction Target - EO 2019-01","2019-01.pdf (pa.gov)","https://www.oa.pa.gov/Policies/eo/Documents/2019-01.pdf","2019","Executive Order","80% below 2005 levels by 2050","PA","Cross-sector","Pennsylvania","hover_cross"
"Long-Term GHG Reduction Target - Resilient Rhode Island Act of 2014","42-6.2-2 (state.ri.us)","http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-6.2/42-6.2-2.HTM","2014","Legislation","80% below 1990 levels by 2050","RI","Cross-sector","Rhode Island","hover_cross"
"Long-Term GHG Reduction Target - An Act to amend and reenact §§ 67-100, 67-101, 67-102, and 67-201 of the Code of Virginia, relating to the Commonwealth Energy Policy and Virginia Energy Plan","Bill Tracking - 2020 session > Legislation (virginia.gov)","https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP1191","2020","Legislation","Net-zero by 2045","VA","Cross-sector","Virginia","hover_cross"
"Long-Term GHG Reduction Target - H 688 Act 153","Bill Status H.688 (Act 153) (vermont.gov)","https://legislature.vermont.gov/bill/status/2020/H.688","2020","Legislation","80% below 1990 levels by 2050","VT","Cross-sector","Vermont","hover_cross"
"Long-Term GHG Reduction Target - Engrossed Second Sunstitute HB 2311","2311-S2.SL.pdf (wa.gov)","http://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1","2020","Legislation","Net-zero by 2050","WA","Cross-sector","Washington","hover_cross"
"Cap-and-Trade","ARB Emissions Trading Program (ca.gov)","https://ww2.arb.ca.gov/sites/default/files/classic/cc/capandtrade/guidance/cap_trade_overview.pdf","2013","","California’s cap-and-trade program applies economy-wide, setting a limit on approximately 85% of California’s GHG emissions, and serves as a complement to and general backstop for the state’s sector-specific policies such as the Renewables Portfolio Standard (RPS) and Low Carbon Fuels Standard (LCFS).","CA","Cross-sector","California","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2005","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","ME","Cross-sector","Maine","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2005","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","NY","Cross-sector","New York","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2005","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","VT","Cross-sector","Vermont","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2008","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","NH","Cross-sector","New Hampshire","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2007","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","RI","Cross-sector","Rhode Island","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2005","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","CT","Cross-sector","Connecticut","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2020","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","NJ","Cross-sector","New Jersey","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2005","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","DE","Cross-sector","Delaware","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2007","","Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","MD","Cross-sector","Maryland","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2021","","Virginia enacted the Clean Energy and Community Flood Preparedness Act in April 2020 which directed its State Air Pollution Control Board to adopt regulations to establish a cap-and-trade program for carbon dioxide emissions. Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030.","VA","Cross-sector","Virginia","hover_cross"
"Cap-and-Trade","State Statutes & Regulations | RGGI, Inc.","https://www.rggi.org/program-overview-and-design/state-regulations","2007","","Massachusetts established a separate cap-and-trade program (Reducing CO2 Emissions from Electricity Generating Facilities) that runs in parallel to RGGI. This program covers 21 large fossil fuel-fired power plants. Established in 2005, RGGI is a regional cap-and-trade program to reduce CO2 emissions from power plants. RGGI states announced in August 2017 their intent to reduce covered emissions another 30% between 2020 and 2030. Massachusetts finalized declining RGGI program emissions caps for 2021 through 2030.","MA","Cross-sector","Massachusetts","hover_cross"
"Appliance Standards Not Preempted","https://www.energy.ca.gov/rules-and-regulations/appliance-efficiency-regulations-title-20","https://www.energy.ca.gov/rules-and-regulations/appliance-efficiency-regulations-title-20","","","Appliance Efficiency Regulations (California Code of Regulations, Title 20, Sections 1601–1608) for appliances offered for sale in California. Existing provisions that backstop all other federal appliance standards in case of repeal or rollback.","CA","Industry","California","hover_industry"
"Appliance Standards Not Preempted","","","","","In 2013, Oregon passed standards for battery chargers and televisions, among other products. The state previously adopted standards in 2005 and 2007, most of which were later preempted by federal standards.","OR","Industry","Oregon","hover_industry"
"Appliance Standards Not Preempted","","","","","","WA","Industry","Washington","hover_industry"
"Appliance Standards Not Preempted","","","","","","NV","Industry","Nevada","hover_industry"
"Appliance Standards Not Preempted","","","","","Although Arizona has set appliance standards in the past, no additional standards have gone into effect in recent years. The state’s most recent standards were adopted in 2012.","AZ","Industry","Arizona","hover_industry"
"Appliance Standards Not Preempted","","","","","Appliance energy and water efficiency standards for new equipment sold in the state phased in over three years starting 2019; new standards passed in 2019 covered 15 products, in addition to provisions protecting against the repeal of federal standards, including the light bulb rollback.","CO","Industry","Colorado","hover_industry"
